X Position,Y Position,Time,_T,_X Pos,_Y Pos,,,,
-78.62195758,10.33151421,1509043199,,,,,Total Samples:,,5702
-78.27317705,9.785820356,1509043199,0.021310091,0.348780534,0.545693853,,Total X Distance:,,3634.747499
-78.47183746,9.896199052,1509043199,0.018749952,0.198660414,0.110378697,,Total Y Distance:,,2934.578179
-78.48199379,9.95351856,1509043199,0.018749952,0.010156325,0.057319508,,Total Time:,,120.95995
-78.87338994,9.666116732,1509043199,0.020009995,0.391396155,0.287401828,,Avg Sampling Rate:,,47.13956976
-78.51425183,9.230577965,1509043199,0.01996994,0.359138112,0.435538767,,Total Distance,,6569.325677
-78.76660018,9.230366975,1509043199,0.019960165,0.252348349,0.00021099,,,,
-78.98517124,9.136447212,1509043200,0.022559881,0.218571054,0.093919764,,,,
-78.93362205,9.381144239,1509043200,0.018749952,0.051549188,0.244697027,,,,
-79.32717097,9.195656295,1509043200,0.019999981,0.393548924,0.185487944,,,,
-78.86382269,9.211170273,1509043200,0.021239996,0.463348283,0.015513978,,,,
-78.77232261,9.093495053,1509043200,0.021260023,0.091500081,0.11767522,,,,
-78.96220301,9.236928569,1509043200,0.018750191,0.189880404,0.143433516,,,,
-79.06624421,8.799085147,1509043200,0.019979954,0.104041202,0.437843422,,,,
-78.63136662,8.627433236,1509043200,0.021219969,0.434877588,0.171651911,,,,
-78.69790989,8.769539611,1509043200,0.018769979,0.066543266,0.142106375,,,,
-78.80912866,8.417149116,1509043200,0.022500038,0.111218773,0.352390495,,,,
-79.14223126,8.242277528,1509043200,0.018749952,0.333102595,0.174871587,,,,
-79.13571747,8.036606658,1509043200,0.022500038,0.006513787,0.20567087,,,,
-79.06415372,8.506898359,1509043200,0.018749952,0.071563753,0.470291701,,,,
-79.56931535,8.462755588,1509043200,0.019999981,0.505161635,0.044142771,,,,
-79.47890411,8.39043409,1509043200,0.019999981,0.090411242,0.072321499,,,,
-79.74841247,8.179715129,1509043200,0.019999981,0.269508356,0.21071896,,,,
-80.10873208,8.138153447,1509043200,0.021260023,0.360319617,0.041561682,,,,
-79.62368687,8.35225985,1509043200,0.01996994,0.485045218,0.214106403,,,,
-80.05300576,8.159588876,1509043200,0.019990206,0.429318898,0.192670975,,,,
-80.32726135,8.089298026,1509043200,0.020020008,0.274255582,0.070290849,,,,
-80.97129238,7.688381113,1509043200,0.021349907,0.644031033,0.400916913,,,,
-80.4832835,7.832619651,1509043200,0.018680096,0.488008876,0.144238538,,,,
-81.39701482,7.714895807,1509043200,0.021259785,0.913731313,0.117723844,,,,
-81.65901777,7.699489744,1509043200,0.019940138,0.262002952,0.015406064,,,,
-81.54783462,7.147653887,1509043200,0.019999981,0.111183151,0.551835857,,,,
-82.04796939,7.298797545,1509043200,0.02132988,0.500134772,0.151143658,,,,
-81.79561425,7.187999785,1509043200,0.019970179,0.252355136,0.110797759,,,,
-81.87715428,7.207203944,1509043200,0.023699999,0.081540025,0.019204158,,,,
-82.72562229,6.967589121,1509043200,0.01880002,0.84846801,0.239614823,,,,
-82.59472287,6.911189173,1509043200,0.018709898,0.130899418,0.056399948,,,,
-82.91426793,7.002882724,1509043200,0.018729925,0.319545056,0.09169355,,,,
-82.64598702,7.217904691,1509043200,0.022510052,0.268280902,0.215021967,,,,
-82.5046982,7.059004339,1509043200,0.020060062,0.141288829,0.158900352,,,,
-82.79604004,7.312958272,1509043200,0.02244997,0.291341844,0.253953933,,,,
-82.40958476,7.003756218,1509043200,0.029989958,0.386455277,0.309202054,,,,
-82.38157714,7.120832816,1509043200,0.018790007,0.02800762,0.117076598,,,,
-82.50495053,7.416138767,1509043200,0.021209955,0.123373389,0.295305952,,,,
-82.41069846,7.387708792,1509043200,0.02125001,0.094252075,0.028429976,,,,
-81.97876963,7.510082495,1509043200,0.018750191,0.431928827,0.122373703,,,,
-82.35437407,7.055387405,1509043200,0.023749828,0.375604441,0.45469509,,,,
-82.1523264,7.35919057,1509043200,0.018740177,0.202047675,0.303803165,,,,
-82.40282187,7.644404802,1509043200,0.030009985,0.250495472,0.285214232,,,,
-82.07072112,7.581943709,1509043200,0.019999981,0.332100749,0.062461093,,,,
-82.95039787,8.143455784,1509043200,0.019989967,0.879676756,0.561512075,,,,
-82.44586827,7.966608363,1509043200,0.019999981,0.504529603,0.176847421,,,,
-82.50610644,8.168978449,1509043200,0.020009995,0.060238171,0.202370087,,,,
-82.41372146,8.008272915,1509043200,0.022490025,0.092384981,0.160705534,,,,
-82.31519728,8.129911119,1509043200,0.018749952,0.09852418,0.121638204,,,,
-82.09759029,8.090339677,1509043201,0.020009995,0.217606989,0.039571442,,,,
-82.12311863,8.021811695,1509043201,0.021300077,0.025528333,0.068527982,,,,
-81.53585917,8.200074286,1509043201,0.019959927,0.587259459,0.17826259,,,,
-81.34002792,8.267620014,1509043201,0.02125001,0.195831245,0.067545729,,,,
-81.28464795,8.599377832,1509043201,0.022490025,0.05537997,0.331757818,,,,
-80.43439779,8.172025174,1509043201,0.018739939,0.850250165,0.427352658,,,,
-79.97263559,7.964586547,1509043201,0.029999971,0.461762202,0.207438626,,,,
-80.03667181,8.104834241,1509043201,0.019999981,0.064036227,0.140247694,,,,
-79.4322879,8.023296933,1509043201,0.020009995,0.604383918,0.081537308,,,,
-79.42284994,8.101811555,1509043201,0.022490025,0.009437954,0.078514622,,,,
-79.14126262,8.364610988,1509043201,0.018739939,0.281587323,0.262799433,,,,
-79.18548077,8.405570405,1509043201,0.020030022,0.044218147,0.040959418,,,,
-78.42334431,8.511102874,1509043201,0.021239996,0.762136459,0.105532469,,,,
-78.58728755,8.572161717,1509043201,0.018740177,0.163943242,0.061058843,,,,
-79.42169,8.573391522,1509043201,0.021260023,0.834402449,0.001229805,,,,
-79.06593836,8.77341062,1509043201,0.020009995,0.355751634,0.200019097,,,,
-78.5693056,8.473833706,1509043201,0.018739939,0.496632761,0.299576914,,,,
-78.54373051,8.586946519,1509043201,0.02125001,0.025575094,0.113112813,,,,
-78.38431571,8.762437832,1509043201,0.019999981,0.1594148,0.175491313,,,,
-78.37570675,9.030609911,1509043201,0.019999981,0.008608952,0.26817208,,,,
-78.51962883,8.903972586,1509043201,0.019999981,0.143922072,0.126637325,,,,
-77.94536248,8.974538044,1509043201,0.02125001,0.574266344,0.070565457,,,,
-77.67491259,9.409521164,1509043201,0.018749952,0.270449894,0.43498312,,,,
-77.60156487,9.538675633,1509043201,0.019989967,0.073347721,0.129154469,,,,
-76.80415255,9.672644587,1509043201,0.021260023,0.797412316,0.133968954,,,,
-77.22245855,9.82205324,1509043201,0.021260023,0.418305995,0.149408653,,,,
-76.02103358,10.58477271,1509043201,0.018739939,1.201424967,0.762719471,,,,
-75.03686036,10.64884357,1509043201,0.020009995,0.984173221,0.064070859,,,,
-74.7862993,11.04890635,1509043201,0.019990206,0.250561057,0.400062782,,,,
-73.98975925,11.0039482,1509043201,0.021239996,0.796540054,0.044958152,,,,
-74.24603589,10.78050878,1509043201,0.02004981,0.256276649,0.22343942,,,,
-73.62700478,10.92794427,1509043201,0.019960165,0.619031116,0.147435489,,,,
-73.94898699,10.680053,1509043201,0.019999981,0.32198221,0.247891264,,,,
-74.09350684,11.07316398,1509043201,0.019999981,0.144519853,0.393110973,,,,
-73.56407999,10.62275001,1509043201,0.02125001,0.529426854,0.450413966,,,,
-74.29652444,10.51347152,1509043201,0.018749952,0.73244445,0.109278486,,,,
-73.70133199,10.50017856,1509043201,0.022500038,0.595192452,0.013292959,,,,
-73.94098954,10.21039541,1509043201,0.018749952,0.239657552,0.289783152,,,,
-73.83412148,10.33666831,1509043201,0.01996994,0.106868058,0.126272894,,,,
-73.66818078,10.48709942,1509043201,0.020030022,0.165940699,0.150431115,,,,
-74.3322876,10.42751638,1509043201,0.019999981,0.664106814,0.059583042,,,,
-74.17199271,10.13224178,1509043201,0.02125001,0.160294885,0.295274596,,,,
-74.11541868,10.16334331,1509043201,0.018769979,0.056574032,0.031101527,,,,
-74.39656328,9.962219528,1509043201,0.044980049,0.281144599,0.201123783,,,,
-74.29561035,9.956246412,1509043201,0.026270151,0.10095293,0.005973116,,,,
-74.47238868,9.937295011,1509043201,0.019989967,0.176778332,0.018951401,,,,
-74.47807871,9.596186833,1509043201,0.019979954,0.005690029,0.341108178,,,,
-74.72931082,9.534243414,1509043202,0.020009995,0.251232109,0.061943418,,,,
-74.39377968,9.340322497,1509043202,0.022500038,0.335531136,0.193920918,,,,
-74.33463665,9.570867032,1509043202,0.018749952,0.059143028,0.230544535,,,,
-75.03502235,9.768236538,1509043202,0.019989967,0.700385699,0.197369506,,,,
-75.24910266,9.723386416,1509043202,0.020020008,0.214080305,0.044850121,,,,
-74.82928866,9.441028302,1509043202,0.019989967,0.419813995,0.282358114,,,,
-75.14751614,9.444459576,1509043202,0.02125001,0.318227478,0.003431274,,,,
-74.69736349,9.474976176,1509043202,0.020030022,0.450152653,0.030516601,,,,
-75.13092821,9.421368289,1509043202,0.021229982,0.433564725,0.053607888,,,,
-75.00984342,9.244693106,1509043202,0.021229982,0.121084792,0.176675183,,,,
-75.26708497,9.078832283,1509043202,0.019989967,0.257241549,0.165860823,,,,
-75.29630303,9.109155533,1509043202,0.018769979,0.029218064,0.03032325,,,,
-75.45737352,8.892718784,1509043202,0.021229982,0.161070486,0.216436749,,,,
-75.45983727,8.938148651,1509043202,0.018779993,0.002463748,0.045429867,,,,
-75.96456954,8.982307637,1509043202,0.021240234,0.504732274,0.044158986,,,,
-76.17670252,8.717902984,1509043202,0.021259785,0.212132974,0.264404653,,,,
-75.56341962,8.786893135,1509043202,0.021229982,0.613282896,0.06899015,,,,
-76.20918242,8.793164342,1509043202,0.021270037,0.645762803,0.006271208,,,,
-76.41087674,8.381641591,1509043202,0.018740177,0.201694323,0.411522751,,,,
-76.59606998,8.363899182,1509043202,0.0224998,0.185193236,0.017742408,,,,
-77.14329872,8.450684435,1509043202,0.018750191,0.547228739,0.086785252,,,,
-77.27607017,8.444815638,1509043202,0.019999981,0.132771449,0.005868797,,,,
-77.50876175,8.763675852,1509043202,0.020009995,0.232691578,0.318860214,,,,
-77.88718029,8.658708956,1509043202,0.019959927,0.378418546,0.104966896,,,,
-77.92704719,8.319141821,1509043202,0.020030022,0.039866895,0.339567135,,,,
-77.89242511,8.554010694,1509043202,0.021219969,0.034622078,0.234868873,,,,
-78.42349875,8.220000188,1509043202,0.019999981,0.531073642,0.334010506,,,,
-78.06427043,8.182536959,1509043202,0.02125001,0.359228317,0.037463229,,,,
-78.62605131,8.239510909,1509043202,0.02128005,0.56178088,0.056973951,,,,
-78.73515388,8.53580843,1509043202,0.018719912,0.10910257,0.29629752,,,,
-78.18848156,8.539082916,1509043202,0.021239996,0.546672329,0.003274487,,,,
-79.3748456,8.594324412,1509043202,0.021260023,1.186364044,0.055241496,,,,
-79.06629882,8.596440361,1509043202,0.022500038,0.308546778,0.002115949,,,,
-78.82661361,8.72318152,1509043202,0.018840075,0.239685214,0.126741159,,,,
-78.78000079,9.021899927,1509043202,0.01865983,0.046612813,0.298718407,,,,
-79.27220579,8.894298752,1509043202,0.020000219,0.492204997,0.127601175,,,,
-78.92834745,8.839888447,1509043202,0.019999981,0.343858341,0.054410305,,,,
-79.28762447,9.212651585,1509043202,0.019999981,0.359277017,0.372763138,,,,
-79.11478143,9.007839674,1509043202,0.019999981,0.172843036,0.204811911,,,,
-78.99045864,9.246016893,1509043202,0.02125001,0.124322787,0.238177219,,,,
-79.5567523,9.341700011,1509043202,0.019999981,0.566293659,0.095683119,,,,
-79.09393966,9.458558127,1509043202,0.02132988,0.462812638,0.116858115,,,,
-79.49792418,9.671833333,1509043202,0.018740177,0.403984512,0.213275206,,,,
-79.88616714,9.744136931,1509043202,0.019939899,0.388242959,0.072303598,,,,
-79.85267954,9.946359956,1509043202,0.031310081,0.033487591,0.202223026,,,,
-79.54233602,10.0810266,1509043202,0.021219969,0.310343523,0.134666643,,,,
-79.7751027,10.00143258,1509043202,0.020020008,0.232766678,0.079594016,,,,
-79.72169996,9.960950735,1509043202,0.018749952,0.053402739,0.040481849,,,,
-79.61267389,10.04067074,1509043202,0.021229982,0.109026069,0.079720006,,,,
-80.73350703,9.872562321,1509043203,0.018749952,1.120833134,0.16810842,,,,
-80.09222843,9.95886545,1509043203,0.019999981,0.641278592,0.08630313,,,,
-80.77481539,10.34339566,1509043203,0.020009995,0.682586953,0.384530211,,,,
-80.69055939,10.16621115,1509043203,0.019999981,0.084256001,0.177184513,,,,
-80.89783864,10.01595689,1509043203,0.03125,0.207279255,0.15025426,,,,
-81.19788571,10.06022285,1509043203,0.019999981,0.300047065,0.044265965,,,,
-81.12007601,9.73422105,1509043203,0.019950151,0.077809692,0.326001804,,,,
-80.8576609,9.811436322,1509043203,0.022520065,0.26241511,0.077215272,,,,
-80.9295636,9.710452936,1509043203,0.021239996,0.071902693,0.100983386,,,,
-81.19852128,9.971898502,1509043203,0.018749952,0.268957682,0.261445566,,,,
-80.74548553,9.879049274,1509043203,0.01880002,0.453035749,0.092849228,,,,
-81.38498479,9.652854811,1509043203,0.021179914,0.639499258,0.226194464,,,,
-81.33438236,9.967560674,1509043203,0.020009995,0.050602427,0.314705864,,,,
-81.67001035,10.36572879,1509043203,0.021239996,0.335627989,0.398168118,,,,
-81.83363074,10.20510099,1509043203,0.018769979,0.163620389,0.160627806,,,,
-81.92326304,10.32180011,1509043203,0.021300077,0.089632298,0.116699124,,,,
-82.46229382,10.4209479,1509043203,0.018689871,0.539030785,0.099147788,,,,
-82.04764007,10.57700663,1509043203,0.019999981,0.414653747,0.156058729,,,,
-82.14179363,10.67101384,1509043203,0.020000219,0.094153553,0.094007209,,,,
-82.86035901,10.99871141,1509043203,0.02004981,0.71856538,0.327697571,,,,
-82.43981755,11.08773299,1509043203,0.022469997,0.42054146,0.089021582,,,,
-83.07638947,11.23930293,1509043203,0.019999981,0.636571926,0.151569938,,,,
-83.28984574,11.51629591,1509043203,0.018750191,0.213456268,0.276992982,,,,
-82.83402422,11.7326064,1509043203,0.020039797,0.455821519,0.216310485,,,,
-83.46412012,12.07770599,1509043203,0.022500038,0.630095895,0.345099597,,,,
-84.09438793,12.299178,1509043203,0.018750191,0.630267817,0.221472008,,,,
-83.85841537,12.58069195,1509043203,0.020009995,0.235972561,0.281513952,,,,
-83.38725717,12.73563762,1509043203,0.022480011,0.471158199,0.154945665,,,,
-83.87086681,12.97782848,1509043203,0.018779993,0.483609634,0.242190865,,,,
-84.02613027,13.06773976,1509043203,0.022439957,0.155263466,0.089911273,,,,
-83.57625951,13.34525163,1509043203,0.027549982,0.449870764,0.277511872,,,,
-83.53078214,13.51297896,1509043203,0.02125001,0.04547737,0.167727331,,,,
-83.69644733,13.4523683,1509043203,0.018699884,0.165665188,0.060610663,,,,
-83.62128436,13.49552733,1509043203,0.020179987,0.075162969,0.043159037,,,,
-84.16100043,13.61890523,1509043203,0.023740053,0.539716076,0.123377897,,,,
-83.8882267,13.67736995,1509043203,0.018630028,0.272773735,0.058464718,,,,
-83.73540468,13.93139032,1509043203,0.019979954,0.152822019,0.254020368,,,,
-84.41999274,14.02248313,1509043203,0.018880129,0.68458806,0.091092811,,,,
-84.21278225,14.11980932,1509043203,0.022359848,0.207210494,0.097326189,,,,
