X Position,Y Position,Time,_T,_X Pos,_Y Pos,,,,
-8.481571849,34.03039285,1509736809,,,,,Total Samples:,,4903
-8.328520192,34.06954881,1509736809,0.029999971,0.153051657,0.039155957,,Total X Distance:,,2186.557439
-8.222333711,34.69649631,1509736809,0.018759966,0.106186481,0.626947503,,Total Y Distance:,,2283.046835
-8.222099943,34.95182251,1509736809,0.027480125,0.000233767,0.255326202,,Total Time:,,120.9598699
-8.218842038,35.31489405,1509736809,0.023649931,0.003257905,0.363071539,,Avg Sampling Rate:,,40.53410446
-8.209624371,35.59778705,1509736809,0.021369934,0.009217667,0.282892999,,Total Distance,,4469.604273
-7.903544755,36.22589516,1509736809,0.033740044,0.306079616,0.628108108,,,,
-7.665979211,37.28929313,1509736809,0.026200056,0.237565544,1.063397965,,,,
-7.665979211,37.28929313,1509736809,0.025009871,0,0,,,,
-7.457366656,38.39966633,1509736809,0.033800125,0.208612555,1.110373204,,,,
-6.928007604,38.61877155,1509736809,0.026269913,0.529359053,0.219105219,,,,
-7.331047867,38.95559698,1509736809,0.027470112,0.403040264,0.336825432,,,,
-7.104778226,39.16287567,1509736809,0.018749952,0.226269641,0.207278693,,,,
-7.307367794,39.11563114,1509736809,0.028699875,0.202589568,0.047244531,,,,
-7.52717691,39.12083993,1509736809,0.033850193,0.219809116,0.005208784,,,,
-7.819120384,39.25706425,1509736809,0.019999981,0.291943474,0.136224321,,,,
-7.905024423,39.620439,1509736809,0.02993989,0.085904039,0.36337475,,,,
-8.314393915,39.7996777,1509736809,0.028759956,0.409369492,0.179238701,,,,
-8.488252561,39.86101674,1509736809,0.021199942,0.173858645,0.061339046,,,,
-8.425915227,39.92073337,1509736809,0.03256011,0.062337334,0.059716625,,,,
-8.834804025,39.62680171,1509736809,0.018749952,0.408888798,0.29393166,,,,
-8.981727075,39.52293789,1509736809,0.031239986,0.14692305,0.103863818,,,,
-9.557148481,39.27155545,1509736809,0.018820047,0.575421406,0.251382439,,,,
-9.66366017,39.04062873,1509736809,0.026160002,0.106511689,0.230926721,,,,
-9.66366017,39.04062873,1509736809,0.017499924,0,0,,,,
-10.10057035,38.67378025,1509736809,0.03008008,0.436910181,0.36684848,,,,
-10.39896265,38.6739203,1509736809,0.021179914,0.298392302,0.00014005,,,,
-10.58718659,38.13272402,1509736809,0.03000021,0.188223938,0.541196285,,,,
-10.78780648,37.80417031,1509736809,0.023749828,0.200619891,0.328553702,,,,
-10.59192562,37.99796331,1509736809,0.032500029,0.195880866,0.193792997,,,,
-10.76408986,38.31196439,1509736809,0.027529955,0.172164246,0.314001075,,,,
-10.47393082,38.53910128,1509736809,0.018690109,0.290159043,0.227136895,,,,
-10.34562256,38.66606159,1509736809,0.02125001,0.128308262,0.126960312,,,,
-9.971909362,39.2444872,1509736809,0.032510042,0.373713194,0.578425604,,,,
-9.501365563,40.62538844,1509736809,0.027479887,0.470543799,1.380901247,,,,
-9.569531033,41.48663598,1509736809,0.019940138,0.06816547,0.861247533,,,,
-9.559908353,41.88401845,1509736809,0.018869877,0.00962268,0.39738247,,,,
-9.51866457,42.32361987,1509736810,0.021270037,0.041243783,0.439601425,,,,
-9.413217275,42.33173069,1509736810,0.032540083,0.105447295,0.008110812,,,,
-9.444480691,42.48853778,1509736810,0.019939899,0.031263415,0.156807098,,,,
-9.304599166,42.60781844,1509736810,0.027470112,0.139881525,0.11928066,,,,
-9.445031666,42.53823188,1509736810,0.020009995,0.1404325,0.069586559,,,,
-9.531742595,42.1939066,1509736810,0.032480001,0.086710929,0.344325281,,,,
-10.2092169,41.81238019,1509736810,0.019999981,0.677474304,0.381526408,,,,
-10.25397238,41.85443134,1509736810,0.025019884,0.044755484,0.042051144,,,,
-10.33731057,41.3365006,1509736810,0.036240101,0.083338186,0.517930735,,,,
-10.69186069,40.82826312,1509736810,0.02004981,0.354550121,0.50823748,,,,
-10.84486393,40.48734049,1509736810,0.031220198,0.153003236,0.340922634,,,,
-10.99961058,40.00619305,1509736810,0.028729916,0.154746657,0.48114744,,,,
-11.33836616,39.85874811,1509736810,0.022500038,0.338755576,0.147444941,,,,
-11.08111464,39.71915227,1509736810,0.018749952,0.257251514,0.139595839,,,,
-11.03095792,39.22335308,1509736810,0.02125001,0.050156719,0.495799191,,,,
-11.03095792,39.22335308,1509736810,0.021260023,0,0,,,,
-11.03775271,38.93059487,1509736810,0.030009985,0.00679479,0.292758211,,,,
-10.77542545,38.88335328,1509736810,0.032490015,0.26232726,0.04724159,,,,
-10.68887364,39.17419381,1509736810,0.024960041,0.086551817,0.290840534,,,,
