6.3928563432,-14.2893063742,1506365905.13421,Time,X,Y,,
6.3928563432,-14.2893063742,1506365905.15172,0.0175058842,0,0,,
10.4403481864,10.589067536,1506365905.17171,0.0199871063,4.0474918433,24.8783739102,,
5.617409191,23.9671683256,1506365905.1917,0.0199959278,4.8229389955,13.3781007896,,
4.8224771438,33.2224485242,1506365905.21168,0.0199799538,0.7949320472,9.2552801986,,
5.7529741459,39.3289432708,1506365905.23169,0.0200080872,0.9304970021,6.1064947465,,
4.206309749,46.0309145795,1506365905.25296,0.0212659836,1.546664397,6.7019713087,,
1.738610436,47.9538412756,1506365905.27423,0.0212740898,2.467699313,1.9229266961,,
0.6045022108,49.5003064255,1506365905.29423,0.0199978352,1.1341082253,1.5464651498,,
0.2756508661,50.8065056776,1506365905.31286,0.0186312199,0.3288513447,1.3061992521,,
0.9596022724,51.7926567562,1506365905.33422,0.0213668346,0.6839514063,0.9861510786,,
1.5641363092,51.089079535,1506365905.35533,0.0211069584,0.6045340369,0.7035772212,,
1.9051814047,49.1838263638,1506365905.37422,0.0188920498,0.3410450954,1.9052531712,,
5.0956505839,41.5451993464,1506365905.40535,0.0311250687,3.1904691793,7.6386270174,,
7.4221537263,36.923483804,1506365905.42536,0.0200099945,2.3265031423,4.6217155424,,
11.5682334842,28.8193036227,1506365905.45784,0.0324831009,4.1460797579,8.1041801813,,
14.4046568434,22.7105973381,1506365905.50159,0.0437479019,2.8364233593,6.1087062846,,
16.2925093102,17.2041300701,1506365905.52661,0.0250239372,1.8878524668,5.506467268,,
15.7777977005,16.5516800862,1506365905.54786,0.0212481022,0.5147116097,0.6524499839,,
15.8641551985,16.1796733272,1506365905.56923,0.0213708878,0.086357498,0.372006759,,
16.261123185,16.2856585396,1506365905.58922,0.0199899673,0.3969679865,0.1059852125,,
14.8642814151,16.3616664738,1506365905.60922,0.0199999809,1.3968417699,0.0760079341,,
14.6755892179,16.5799389797,1506365905.62922,0.020001173,0.1886921972,0.218272506,,
14.8118410429,15.0736321571,1506365905.65923,0.0300040245,0.136251825,1.5063068226,,
15.2453565459,13.6468598845,1506365905.67923,0.0199999809,0.4335155029,1.4267722726,,
16.3333685439,11.6897250418,1506365905.69922,0.0199959278,1.088011998,1.9571348427,,
16.6477272869,9.3675229735,1506365905.72046,0.0212380886,0.314358743,2.3222020683,,
17.9501699887,1.7708900352,1506365905.7404,0.0199398994,1.3024427018,7.5966329383,,
18.8683392858,-3.0203084227,1506365905.76169,0.0212869644,0.9181692971,4.791198458,,
18.3598537217,-8.3717040789,1506365905.7817,0.0200071335,0.5084855641,5.3513956562,,
17.9364901146,-13.7712805527,1506365905.80059,0.0188958645,0.423363607,5.3995764738,,
16.2917492806,-22.7306363617,1506365905.82307,0.0224730968,1.6447408341,8.959355809,,
14.5929279208,-25.5790312657,1506365905.84168,0.0186169147,1.6988213597,2.8483949041,,
13.4039828637,-27.2302462603,1506365905.86306,0.0213820934,1.1889450571,1.6512149945,,
12.1923491072,-26.5488854247,1506365905.89184,0.028772831,1.2116337565,0.6813608356,,
11.8934288431,-24.7504620345,1506365905.91181,0.0199742317,0.2989202642,1.7984233902,,
9.4225591482,-22.4018779238,1506365905.93183,0.0200228691,2.4708696948,2.3485841107,,
4.1231488092,-17.0476239214,1506365905.96429,0.0324549675,5.299410339,5.3542540024,,
2.1643321331,-12.6168839573,1506365905.98305,0.0187599659,1.9588166761,4.4307399641,,
1.7963145089,-10.6307814361,1506365906.00301,0.0199570656,0.3680176242,1.9861025212,,
1.2441844484,-8.8111412744,1506365906.02545,0.0224459171,0.5521300606,1.8196401617,,
1.4652411827,-7.0553661284,1506365906.04435,0.0188970566,0.2210567343,1.755775146,,
2.1972873736,-4.0169886665,1506365906.06434,0.01998806,0.732046191,3.038377462,,
2.2394811759,-2.8577410971,1506365906.08433,0.0199949741,0.0421938023,1.1592475694,,
2.6473254687,-2.1919583833,1506365906.10427,0.0199389458,0.4078442928,0.6657827138,,
4.3198144817,-2.3551476262,1506365906.12538,0.0211119652,1.672489013,0.163189243,,
5.8395502585,-4.4971243847,1506365906.14433,0.0189499855,1.5197357768,2.1419767585,,
5.7425477518,-5.6091811795,1506365906.16556,0.0212311745,0.0970025067,1.1120567947,,
6.0423077476,-6.5147439313,1506365906.18557,0.020004034,0.2997599958,0.9055627519,,
5.8013211782,-6.7973653029,1506365906.20557,0.0200028419,0.2409865694,0.2826213715,,
5.3235492052,-5.7008277033,1506365906.22783,0.022258997,0.477771973,1.0965375996,,
4.863090683,-4.7767845568,1506365906.24928,0.0214540958,0.4604585221,0.9240431464,,
4.1008073726,-3.8597433807,1506365906.26787,0.018584013,0.7622833105,0.9170411761,,
0.6347422052,-2.3652845469,1506365906.29681,0.0289459229,3.4660651673,1.4944588339,,
-1.819340002,-1.7459159957,1506365906.31783,0.0210149288,2.4540822072,0.6193685511,,
-3.9169427818,-1.0244257719,1506365906.33677,0.0189361572,2.0976027799,0.7214902238,,
-5.9031257403,0.3136313304,1506365906.35811,0.021340847,1.9861829585,1.3380571023,,
-6.7591892216,0.744547054,1506365906.37799,0.0198810101,0.8560634813,0.4309157236,,
-7.3413058409,1.216092725,1506365906.39928,0.021296978,0.5821166193,0.471545671,,
-7.401796093,1.7350966042,1506365906.41803,0.018748045,0.0604902521,0.5190038792,,
-6.1623434029,1.9511964788,1506365906.43802,0.0199899673,1.2394526901,0.2160998746,,
-5.5820738763,1.9433884548,1506365906.458,0.0199780464,0.5802695267,0.007808024,,
-4.64543153,1.754862953,1506365906.48039,0.0223870277,0.9366423463,0.1885255018,,
-3.2608584649,1.8150508931,1506365906.49926,0.0188720226,1.384573065,0.0601879401,,
