-2.4548153643,34.4006978466,1506366801.2874,Time,X,Y
-3.1306778352,35.6025380504,1506366801.30501,0.0176019669,0.6758624709,1.2018402038
-3.4702662687,36.1001984459,1506366801.32497,0.0199620724,0.3395884335,0.4976603955
-2.6101707449,35.6428600712,1506366801.34496,0.0199949741,0.8600955238,0.4573383746
-1.911477373,33.8447813848,1506366801.36622,0.0212600231,0.6986933719,1.7980786865
-1.5314727183,31.8581069598,1506366801.38491,0.0186839104,0.3800046547,1.986674425
-1.6669978999,30.1031001334,1506366801.40622,0.021310091,0.1355251815,1.7550068263
-1.5266919096,28.4255398249,1506366801.42621,0.0199928284,0.1403059903,1.6775603085
-1.0329703281,25.7613587609,1506366801.44746,0.0212500095,0.4937215816,2.6641810641
-1.0655613096,24.508689225,1506366801.46621,0.0187530518,0.0325909816,1.2526695358
-1.1324310793,23.5773226075,1506366801.48619,0.0199759007,0.0668697697,0.9313666175
-0.4907266046,22.7074226635,1506366801.51875,0.0325570107,0.6417044747,0.869899944
-0.1209917281,20.7964628551,1506366801.53749,0.0187439919,0.3697348765,1.9109598084
-0.4380787166,19.5241936911,1506366801.55749,0.0199971199,0.3170869885,1.272269164
-0.3758587618,18.6416535532,1506366801.57754,0.0200550556,0.0622199548,0.8825401379
-0.1441739307,18.0300801273,1506366801.59874,0.0211949348,0.2316848311,0.6115734259
-0.116116715,17.5257709628,1506366801.62,0.0212640762,0.0280572157,0.5043091645
-0.5646109201,16.7155937749,1506366801.64126,0.0212628841,0.4484942051,0.8101771879
-0.5640316798,16.745993037,1506366801.65996,0.0186979771,0.0005792402,0.0303992621
-1.275936349,16.903998871,1506366801.67882,0.0188570023,0.7119046691,0.1580058341
-1.068449446,17.2184570327,1506366801.69631,0.0174870491,0.207486903,0.3144581616
-0.6351110524,18.2081076746,1506366801.72002,0.0237159729,0.4333383936,0.9896506419
0.7099453569,19.4849786211,1506366801.74001,0.01998806,1.3450564093,1.2768709465
1.3237714324,21.2245034899,1506366801.76124,0.0212309361,0.6138260754,1.7395248688
1.7569300196,23.3937046785,1506366801.77999,0.0187520981,0.4331585872,2.1692011886
0.7910448943,24.6041277301,1506366801.80125,0.0212550163,0.9658851253,1.2104230516
0.6427705842,24.1816163251,1506366801.82125,0.0199990273,0.1482743101,0.422511405
0.210068349,23.6787999557,1506366801.84126,0.0200088024,0.4327022352,0.5028163694
0.2891203513,22.695171681,1506366801.86251,0.0212500095,0.0790520023,0.9836282747
-0.3430141695,21.3800789366,1506366801.88254,0.0200331211,0.6321345208,1.3150927444
-0.183660981,20.7227998912,1506366801.90251,0.0199689865,0.1593531886,0.6572790454
-0.4829317683,19.6394630695,1506366801.92251,0.0200049877,0.2992707873,1.0833368216
-0.2464128443,18.7881439664,1506366801.94376,0.0212481022,0.2365189239,0.8513191031
-0.4339453073,17.1919310596,1506366801.96261,0.0188457966,0.187532463,1.5962129068
0.2301883191,16.4256525793,1506366801.98375,0.0211470127,0.6641336264,0.7662784803
0.6180516213,15.5193229161,1506366802.00376,0.0200049877,0.3878633022,0.9063296632
0.5495644283,14.6403724327,1506366802.02498,0.0212171078,0.068487193,0.8789504834
0.8889270698,13.0372533911,1506366802.04622,0.0212469101,0.3393626415,1.6031190416
0.5590093947,12.7760167276,1506366802.06497,0.0187511444,0.3299176751,0.2612366635
0.7144591116,12.5290199919,1506366802.08497,0.019990921,0.1554497169,0.2469967357
0.5124808313,12.5256127778,1506366802.10494,0.0199730396,0.2019782803,0.0034072141
-0.122595632,12.6663086179,1506366802.12496,0.0200200081,0.6350764633,0.1406958401
-0.1773418731,12.7546896455,1506366802.14496,0.020004034,0.0547462411,0.0883810276
-0.3325938476,12.6283642571,1506366802.16623,0.0212659836,0.1552519745,0.1263253883
-0.6929302392,12.3718152906,1506366802.18622,0.0199959278,0.3603363916,0.2565489666
-1.0543183403,12.3057655255,1506366802.20619,0.0199670792,0.3613881011,0.0660497651
-1.1287446621,12.0513314523,1506366802.22622,0.0200278759,0.0744263218,0.2544340732
-1.0496125569,11.7425499742,1506366802.24872,0.0224971771,0.0791321052,0.3087814781
-0.5416629224,11.852607233,1506366802.26746,0.0187439919,0.5079496345,0.1100572588
-0.2683549353,12.3145734026,1506366802.28868,0.0212218761,0.2733079871,0.4619661696
0.0898358926,12.540355885,1506366802.30871,0.0200269222,0.3581908279,0.2257824824
0.2899975254,12.9404953734,1506366802.32871,0.0199990273,0.2001616327,0.4001394884
0.1111994334,13.4096729591,1506366802.34996,0.0212490559,0.178798092,0.4691775857
