-11.7033097864,43.9191682029,1506365605.84482,Time,X,Y
-11.8322866603,43.3804395221,1506365605.86979,0.0249650478,0.1289768739,0.5387286808
-12.2846773699,42.9372076065,1506365605.89227,0.0224850178,0.4523907096,0.4432319156
-13.0075552949,41.9601382008,1506365605.91103,0.0187590122,0.722877925,0.9770694058
-13.3577916794,41.5376749553,1506365605.93104,0.0200049877,0.3502363846,0.4224632455
-13.4181430095,41.2645850339,1506365605.97728,0.0462479591,0.0603513301,0.2730899214
-13.7388243868,40.1894685657,1506365606.00102,0.0237381458,0.3206813773,1.0751164682
-13.5898970418,39.7783291614,1506365606.0223,0.0212788582,0.148927345,0.4111394043
-13.3786908277,38.9874340068,1506365606.0446,0.0223031044,0.2112062141,0.7908951546
-12.7768605783,38.5334115123,1506365606.0723,0.0276908875,0.6018302493,0.4540224945
-12.766900877,38.352110019,1506365606.09229,0.0199921131,0.0099597013,0.1813014933
-12.4867116794,38.1196922431,1506365606.11228,0.0199968815,0.2801891976,0.2324177759
-12.4677728893,38.0672326635,1506365606.13477,0.0224859715,0.0189387901,0.0524595796
-12.0930440718,37.8243931565,1506365606.15602,0.0212521553,0.3747288175,0.2428395069
-11.8354447801,37.8681247474,1506365606.17477,0.0187499523,0.2575992916,0.0437315909
-11.5469640376,37.7964745756,1506365606.19478,0.0200090408,0.2884807425,0.0716501718
-11.8097697721,37.4669363723,1506365606.21477,0.0199868679,0.2628057345,0.3295382033
-11.9718972842,37.467835288,1506365606.23471,0.0199429989,0.162127512,0.0008989157
-11.5167828372,37.5820448986,1506365606.25475,0.0200400352,0.455114447,0.1142096107
-11.4954683623,37.618302115,1506365606.27602,0.0212700367,0.0213144749,0.0362572163
-11.5750062999,37.7347928148,1506365606.29602,0.0199999809,0.0795379377,0.1164906998
-11.6431474528,37.6913857418,1506365606.31852,0.022495985,0.0681411529,0.0434070729
-11.2581764747,37.5567219997,1506365606.33727,0.0187520981,0.3849709782,0.1346637421
-11.3535411066,37.4146731076,1506365606.35728,0.0200140476,0.0953646319,0.1420488922
-12.0850223572,36.9948986584,1506365606.37729,0.0200059414,0.7314812506,0.4197744492
-12.461958577,36.3005354238,1506365606.39855,0.021258831,0.3769362198,0.6943632346
-12.7917427668,35.5712203655,1506365606.41971,0.0211601257,0.3297841898,0.7293150583
-12.773770081,34.7606228053,1506365606.43853,0.0188229084,0.0179726858,0.8105975602
-13.5598816745,34.1923233914,1506365606.45977,0.021239996,0.7861115935,0.568299414
-13.2426006026,32.7560752496,1506365606.47977,0.0199961662,0.3172810718,1.4362481418
-13.0245278066,32.0526684108,1506365606.49976,0.0199959278,0.218072796,0.7034068388
-12.9909430383,31.6686785395,1506365606.52228,0.0225188732,0.0335847683,0.3839898713
-12.3637155622,30.7521531405,1506365606.55103,0.0287501812,0.627227476,0.916525399
-11.9094903137,30.8932289265,1506365606.57103,0.0199978352,0.4542252485,0.141075786
-11.9376163414,31.3645947289,1506365606.59108,0.020045042,0.0281260277,0.4713658024
-11.9947930945,31.6178900641,1506365606.61103,0.0199589729,0.0571767531,0.2532953352
-11.7654760016,31.9459515008,1506365606.63102,0.0199840069,0.2293170929,0.3280614367
-12.0321215659,32.3464323029,1506365606.65229,0.0212709904,0.2666455643,0.4004808022
-12.046902036,32.7605522946,1506365606.67228,0.0199871063,0.01478047,0.4141199917
-12.5255519821,32.8909585701,1506365606.6923,0.0200200081,0.4786499461,0.1304062755
-12.8373178786,33.4580809343,1506365606.71227,0.019972086,0.3117658965,0.5671223642
-12.9033626148,34.2380452228,1506365606.73729,0.0250179768,0.0660447363,0.7799642885
-13.7499301703,35.7180752459,1506365606.76478,0.0274980068,0.8465675555,1.4800300231
-13.9525082466,36.5392726347,1506365606.78352,0.0187408924,0.2025780763,0.8211973888
-14.1822783405,37.9373300801,1506365606.80478,0.0212581158,0.2297700938,1.3980574454
-14.0655571933,38.6629332667,1506365606.82479,0.0200109482,0.1167211471,0.7256031865
-14.0549195351,39.3992766886,1506365606.84476,0.0199668407,0.0106376583,0.736343422
-13.6536947198,39.5504659983,1506365606.86477,0.0200049877,0.4012248152,0.1511893097
-13.3261186763,40.0243851568,1506365606.88726,0.0224981308,0.3275760435,0.4739191585
-13.1961960626,40.4264395897,1506365606.90726,0.0199999809,0.1299226137,0.4020544329
-13.0903865506,40.2285509392,1506365606.92602,0.0187530518,0.105809512,0.1978886505
-12.5387777211,40.4885115925,1506365606.94601,0.0199949741,0.5516088295,0.2599606532
-12.3232871085,40.4164537768,1506365606.96727,0.02125597,0.2154906126,0.0720578156
-12.2755684642,40.5805535034,1506365606.98727,0.0200021267,0.0477186443,0.1640997266
39.9563529576,79.528857633,1506365607.00852,0.0212478638,52.2319214218,38.9483041296
-11.604579934,40.4492490675,1506365607.03106,0.0225410461,51.5609328916,39.0796085655
-11.6969105948,40.4781498531,1506365607.05852,0.0274579525,0.0923306608,0.0289007856
-11.1739925696,40.4539248766,1506365607.08853,0.0300090313,0.5229180252,0.0242249764
-11.3901746887,40.522430746,1506365607.10853,0.0200018883,0.2161821191,0.0685058694
-11.2227856972,40.5810582502,1506365607.12852,0.0199911594,0.1673889915,0.0586275041
-11.2493012902,40.6531983287,1506365607.14973,0.0212140083,0.0265155929,0.0721400785
-11.0282075917,40.6372658269,1506365607.16975,0.0200128555,0.2210936984,0.0159325018
-11.0694792371,40.786980461,1506365607.18977,0.0200209618,0.0412716453,0.1497146341
-10.6169068228,40.7177862268,1506365607.21227,0.0224981308,0.4525724143,0.0691942342
-10.2431623173,40.4596504468,1506365607.24479,0.0325210094,0.3737445055,0.25813578
-10.0688491413,40.3350970218,1506365607.2735,0.0287120342,0.174313176,0.124553425
-9.9901957067,39.5899548296,1506365607.29227,0.0187678337,0.0786534346,0.7451421922
-9.7157101691,39.4202326426,1506365607.31102,0.0187489986,0.2744855376,0.1697221869
-9.6569211409,38.9922925051,1506365607.33226,0.0212481022,0.0587890282,0.4279401375
-9.9923946656,38.7776753597,1506365607.35226,0.0200018883,0.3354735248,0.2146171454
-9.7982550159,37.9224393288,1506365607.37226,0.0199990273,0.1941396497,0.8552360309
-9.9013080001,37.8433032435,1506365607.39226,0.0199999809,0.1030529842,0.0791360854
-9.9446192389,37.6102179531,1506365607.41476,0.0225009918,0.0433112387,0.2330852904
-9.7100029064,37.6273237272,1506365607.43477,0.0200071335,0.2346163325,0.0171057741
-9.2171426899,37.0796361942,1506365607.45352,0.0187489986,0.4928602165,0.547687533
-9.3904870853,36.6857788254,1506365607.47357,0.0200440884,0.1733443954,0.3938573688
-9.156862755,36.4438897648,1506365607.49352,0.0199549198,0.2336243303,0.2418890606
-9.5883740536,36.3714712431,1506365607.51475,0.0212290287,0.4315112986,0.0724185216
-9.7301584954,35.4791149156,1506365607.53478,0.0200350285,0.1417844418,0.8923563275
-10.3975122033,35.3586927327,1506365607.55602,0.0212388039,0.6673537079,0.1204221829
-10.4189394651,34.8592549749,1506365607.57478,0.0187580585,0.0214272618,0.4994377578
-10.3834150919,34.5411655921,1506365607.59602,0.0212421417,0.0355243732,0.3180893828
-10.1769094554,33.9839827709,1506365607.61602,0.0199959278,0.2065056365,0.5571828212
-10.2769326689,33.4016029978,1506365607.63604,0.0200240612,0.1000232135,0.582379773
-10.3711980352,33.3401774405,1506365607.65602,0.0199780464,0.0942653663,0.0614255573
-10.4007693876,32.9432645002,1506365607.67602,0.0200009346,0.0295713525,0.3969129404
-10.0520404872,32.4553701181,1506365607.69727,0.0212478638,0.3487289004,0.487894382
-9.8130381532,32.3065213807,1506365607.71727,0.0199999809,0.239002334,0.1488487374
-10.0768840479,31.9835159257,1506365607.73726,0.0199890137,0.2638458947,0.323005455
-9.7391501791,31.7152582768,1506365607.75724,0.0199811459,0.3377338689,0.2682576489
-9.5045276044,31.5074462501,1506365607.77855,0.0213060379,0.2346225746,0.2078120267
-9.5451718847,31.4505361602,1506365607.79977,0.0212240219,0.0406442803,0.0569100899
-9.8579034008,31.714897985,1506365607.81852,0.0187458992,0.3127315161,0.2643618248
