-0.9563653848,39.0315346684,1506366290.75149,Time,X,Y
-1.4817815838,39.995180854,1506366290.77784,0.0263528824,0.5254161989,0.9636461857
-1.6800656413,40.1815233811,1506366290.80034,0.0225000381,0.1982840575,0.186342527
-0.6663816095,38.1031283051,1506366290.8203,0.0199589729,1.0136840318,2.0783950759
-0.0570073506,35.8402213651,1506366290.84038,0.0200829506,0.6093742589,2.26290694
1.277394248,32.0270247206,1506366290.8603,0.0199220181,1.3344015986,3.8131966444
3.4783805205,27.2485515805,1506366290.88031,0.0200049877,2.2009862725,4.7784731402
6.6708725904,16.1779925623,1506366290.90034,0.0200300217,3.1924920699,11.0705590181
6.9525575995,11.2896105828,1506366290.92029,0.019949913,0.281685009,4.8883819796
6.7707671962,6.9841620277,1506366290.94156,0.0212731361,0.1817904033,4.3054485551
6.1091449163,2.5075545597,1506366290.96028,0.0187220573,0.6616222799,4.476607468
5.4508848077,-4.8617257511,1506366290.98033,0.0200448036,0.6582601086,7.3692803108
5.1281886588,-7.517936727,1506366291.00038,0.0200500488,0.3226961489,2.6562109759
4.7261658909,-9.186849398,1506366291.02155,0.021173954,0.4020227679,1.6689126711
4.1851808622,-9.8869806798,1506366291.04282,0.0212700367,0.5409850287,0.7001312818
4.7573017536,-9.1960016686,1506366291.06158,0.0187540054,0.5721208914,0.6909790112
6.9919430527,-7.5966915005,1506366291.0828,0.021228075,2.2346412991,1.5993101681
11.7088522801,-4.3597272631,1506366291.1128,0.0300009251,4.7169092274,3.2369642373
12.4897066767,-2.761546652,1506366291.1328,0.0199990273,0.7808543965,1.5981806112
13.0560940899,-1.5973845859,1506366291.1528,0.0199971199,0.5663874132,1.1641620661
13.2925748061,-0.5075826447,1506366291.17283,0.0200278759,0.2364807162,1.0898019411
14.9741164094,1.4366446598,1506366291.19406,0.0212309361,1.6815416032,1.9442273045
13.8625455046,2.9781328915,1506366291.21403,0.0199670792,1.1115709047,1.5414882317
12.0761091451,4.8975417533,1506366291.23402,0.0199949741,1.7864363596,1.9194088618
10.223383721,7.558469409,1506366291.25402,0.0199971199,1.852725424,2.6609276558
7.6153658565,15.5941976498,1506366291.27404,0.0200209618,2.6080178646,8.0357282408
