5.2691346291,88.304326877,1506367125.16607,Time,X,Y
5.2691346291,88.304326877,1506367125.18355,0.0174841881,0,0
-2.1423551041,85.8833553578,1506367125.21875,0.0352008343,7.4114897333,2.4209715191
-15.5274736173,80.246847284,1506367125.24248,0.0237250328,13.3851185131,5.6365080738
-23.0627920258,77.0744808423,1506367125.26746,0.0249869823,7.5353184086,3.1723664417
-34.9845674319,70.4997753264,1506367125.30868,0.0412180424,11.9217754061,6.5747055159
-38.8177847327,62.0923032923,1506367125.32871,0.0200240612,3.8332173008,8.4074720341
-38.2721600353,55.9580719811,1506367125.35492,0.026211977,0.5456246974,6.1342313112
-28.1423906266,38.2632770802,1506367125.37746,0.0225439072,10.1297694087,17.6947949009
-22.1967058357,29.2515737367,1506367125.39627,0.0188090801,5.9456847908,9.0117033434
-14.2080211341,13.4454008836,1506367125.42122,0.024944067,7.9886847016,15.8061728531
-7.8519415282,0.8119500507,1506367125.45,0.0287818909,6.3560796059,12.633450833
-5.878111873,-4.9569628314,1506367125.47362,0.0236201286,1.9738296552,5.7689128821
-4.2923516525,-14.4548176466,1506367125.4961,0.0224859715,1.5857602205,9.4978548152
-4.9464830029,-18.4270511077,1506367125.52244,0.0263359547,0.6541313503,3.9722334611
-5.7356325663,-21.5533036118,1506367125.54119,0.0187489986,0.7891495634,3.126252504
-11.4515211584,-25.8634882402,1506367125.57117,0.0299830437,5.7158885921,4.3101846284
-16.4622167224,-26.9787632866,1506367125.59234,0.0211708546,5.010695564,1.1152750464
-27.0783237825,-25.3661983978,1506367125.61363,0.0212881565,10.6161070601,1.6125648887
-33.3834799169,-21.770956425,1506367125.63108,0.0174529552,6.3051561344,3.5952419729
-40.8536370635,-6.4225842239,1506367125.66238,0.0312979221,7.4701571465,15.348372201
-42.0979591467,12.7773421289,1506367125.68366,0.0212819576,1.2443220833,19.1999263528
-42.0979591467,12.7773421289,1506367125.70108,0.0174121857,0,0
-43.6647867937,19.9019790077,1506367125.73109,0.030009985,1.5668276469,7.1246368788
-44.683995766,28.6587235974,1506367125.75362,0.022539854,1.0192089723,8.7567445897
-44.8349327318,32.4031620101,1506367125.77484,0.0212190151,0.1509369657,3.7444384127
-43.9585389937,33.322086549,1506367125.79371,0.0188670158,0.8763937381,0.918924539
-42.1920108248,33.3578598279,1506367125.81606,0.0223500729,1.7665281689,0.0357732788
-40.2477673333,32.6117738913,1506367125.835,0.0189390182,1.9442434914,0.7460859365
-35.2616371068,28.1057364937,1506367125.85375,0.0187518597,4.9861302265,4.5060373976
-32.5745294701,25.6632896811,1506367125.87362,0.0198681355,2.6871076367,2.4424468126
-29.2903202475,23.4932992949,1506367125.8936,0.0199830532,3.2842092226,2.1699903862
-27.435763864,22.4562669062,1506367125.91359,0.019990921,1.8545563835,1.0370323888
-26.8804940986,23.1190435357,1506367125.93484,0.0212430954,0.5552697654,0.6627766295
-27.5228708896,23.8009951907,1506367125.95359,0.0187518597,0.642376791,0.6819516551
-28.7360406879,24.9720683574,1506367125.97631,0.0227200985,1.2131697983,1.1710731667
-30.7972615727,26.3312353651,1506367125.99624,0.0199348927,2.0612208847,1.3591670077
-35.2030251356,31.0676092132,1506367126.01502,0.0187721252,4.4057635629,4.7363738481
-36.0478544664,33.2543446197,1506367126.03867,0.0236489773,0.8448293308,2.1867354064
-37.2653467228,35.1035170797,1506367126.05625,0.0175869465,1.2174922563,1.84917246
-39.8620365902,37.6054221389,1506367126.08869,0.0324380398,2.5966898674,2.5019050592
-41.7789868984,37.8441015752,1506367126.10744,0.0187530518,1.9169503082,0.2386794363
-42.3533318325,36.9922450615,1506367126.12993,0.0224909782,0.5743449341,0.8518565137
-41.2055475532,33.2120900557,1506367126.14871,0.0187790394,1.1477842793,3.7801550058
-34.6211820429,25.9684588476,1506367126.17627,0.0275537968,6.5843655103,7.2436312082
-32.3600950916,23.0719529782,1506367126.19747,0.0212070942,2.2610869513,2.8965058694
-30.7451873169,20.2759048278,1506367126.21747,0.0199940205,1.6149077747,2.7960481504
-29.5163227394,18.0601596711,1506367126.23868,0.0212080479,1.2288645775,2.2157451566
-21.6793524032,17.8467679347,1506367126.25871,0.0200338364,7.8369703362,0.2133917364
