-0.007955264,-19.8555907782,1506365255.4243,Time Diff,X dist,Y dist
-0.4399621412,-19.9642943568,1506365255.44563,0.0213341713,0.4320068771,0.1087035786
-0.5140765298,-20.2709106224,1506365255.46428,0.0186538696,0.0741143886,0.3066162656
-0.8437510757,-20.4646713904,1506365255.49562,0.0313360691,0.3296745459,0.193760768
-1.3012982024,-20.7103634319,1506365255.51425,0.0186259747,0.4575471267,0.2456920415
-1.8818630205,-20.8962391053,1506365255.53675,0.0225019455,0.5805648181,0.1858756734
-2.1639455887,-20.7117928226,1506365255.55563,0.0188851357,0.2820825682,0.1844462827
-2.7249933603,-20.9131801534,1506365255.57675,0.0211119652,0.5610477716,0.2013873308
-2.9614991555,-21.1171613655,1506365255.59924,0.0224909782,0.2365057952,0.2039812121
-3.3923330891,-21.0858252651,1506365255.61674,0.0175058842,0.4308339336,0.0313361005
-3.6731131862,-21.2460697099,1506365255.63925,0.0225050449,0.2807800971,0.1602444449
-3.7996221003,-21.5040785273,1506365255.65923,0.0199871063,0.1265089141,0.2580088174
-4.0008218814,-21.827068925,1506365255.67799,0.0187599659,0.2011997812,0.3229903977
-3.8367115572,-22.4422379633,1506365255.69928,0.0212869644,0.1641103243,0.6151690383
-3.9668999254,-22.4416305849,1506365255.72064,0.0213630199,0.1301883682,0.0006073784
-4.1570851089,-22.5451843607,1506365255.73928,0.0186350346,0.1901851835,0.1035537758
-4.3635008179,-22.7002982211,1506365255.76061,0.0213329792,0.206415709,0.1551138603
-4.672046212,-23.0165693871,1506365255.77928,0.018666029,0.3085453941,0.316271166
-4.4457715053,-23.0493956533,1506365255.79924,0.019963026,0.2262747067,0.0328262662
-4.5762991461,-23.3236182921,1506365255.82062,0.0213739872,0.1305276408,0.2742226388
-5.0087538592,-23.7428285656,1506365255.85176,0.0311489105,0.432454713,0.4192102734
-4.6445620177,-23.9307074567,1506365255.87063,0.0188679695,0.3641918414,0.1878788911
-4.4084211181,-23.967564427,1506365255.89063,0.0199971199,0.2361408997,0.0368569703
-4.4867439888,-23.9355330633,1506365255.91173,0.0211029053,0.0783228707,0.0320313636
-3.9946385786,-23.3554481245,1506365255.94301,0.0312790871,0.4921054103,0.5800849388
-4.1484480646,-23.1294583379,1506365255.96426,0.0212500095,0.153809486,0.2259897867
-3.8428379301,-23.3918671818,1506365255.98564,0.0213749409,0.3056101345,0.262408844
-2.9485424334,-23.2577439263,1506365256.00429,0.0186550617,0.8942954967,0.1341232555
-2.4789232199,-23.0867776333,1506365256.03564,0.0313458443,0.4696192135,0.170966293
-1.5350447628,-22.3334202775,1506365256.05425,0.0186150074,0.9438784571,0.7533573558
-1.3162125926,-21.3888753884,1506365256.07676,0.0225081444,0.2188321702,0.9445448892
-1.1233616468,-20.7286889394,1506365256.09584,0.019081831,0.1928509458,0.6601864489
-1.1016999642,-19.97820261,1506365256.11675,0.0209031105,0.0216616826,0.7504863294
-1.1332092974,-18.9757416131,1506365256.13563,0.0188889503,0.0315093332,1.002460997
-1.7026225818,-18.3932178222,1506365256.15563,0.0199980736,0.5694132844,0.5825237908
-2.4191363476,-17.6962500255,1506365256.17676,0.0211279392,0.7165137658,0.6969677967
-2.6769138277,-17.1251989872,1506365256.1967,0.0199401379,0.2577774801,0.5710510383
-3.7189060262,-16.2424294773,1506365256.22794,0.0312349796,1.0419921985,0.8827695099
-5.0926728575,-15.5724310698,1506365256.24675,0.0188100338,1.3737668313,0.6699984075
-5.1026156535,-15.5218320459,1506365256.26675,0.0199999809,0.0099427961,0.050599024
-5.253696764,-15.4109690022,1506365256.28794,0.0211958885,0.1510811105,0.1108630437
-5.5786183263,-15.1094506067,1506365256.30799,0.0200519562,0.3249215622,0.3015183955
-5.7157322631,-14.7662641073,1506365256.32799,0.0199990273,0.1371139368,0.3431864993
-5.4887086976,-14.4294717095,1506365256.3481,0.0201089382,0.2270235654,0.3367923978
-5.0953280629,-13.86209443,1506365256.36801,0.0199100971,0.3933806347,0.5673772795
-4.7450159269,-13.6567442377,1506365256.38926,0.0212509632,0.350312136,0.2053501923
-4.1155422745,-13.002801211,1506365256.40926,0.0199990273,0.6294736524,0.6539430267
-4.0393219058,-12.7428770008,1506365256.42926,0.0199971199,0.0762203686,0.2599242102
-3.5105837553,-12.7460236817,1506365256.44924,0.0199840069,0.5287381506,0.0031466809
-3.6898756463,-12.844494068,1506365256.46939,0.0201439857,0.179291891,0.0984703862
-3.8900954656,-13.3259115544,1506365256.49176,0.0223739147,0.2002198193,0.4814174865
-4.0779722782,-13.3634481009,1506365256.51799,0.0262320042,0.1878768126,0.0375365465
-4.7403460575,-13.33873877,1506365256.54062,0.0226290226,0.6623737793,0.0247093309
-5.1210697475,-13.4875509547,1506365256.56062,0.0200018883,0.38072369,0.1488121848
-5.2011760572,-13.3744076272,1506365256.58175,0.0211260319,0.0801063097,0.1131433275
-5.6864115663,-13.2542632694,1506365256.59936,0.0176110268,0.4852355092,0.1201443578
-5.8694196249,-12.5167192413,1506365256.6194,0.0200359821,0.1830080586,0.7375440282
-6.1829340947,-12.1245744031,1506365256.63927,0.0198740959,0.3135144698,0.3921448382
-6.6898213264,-11.6018080184,1506365256.65678,0.0175139904,0.5068872316,0.5227663847
-7.1014951329,-10.6424085004,1506365256.67552,0.0187349319,0.4116738065,0.959399518
-7.7200428574,-9.6882497523,1506365256.69421,0.0186879635,0.6185477245,0.9541587481
-8.2463280167,-8.1440043597,1506365256.71308,0.0188691616,0.5262851593,1.5442453926
-9.7185313846,-5.7620927993,1506365256.73311,0.0200309753,1.4722033679,2.3819115604
-10.1735531115,-4.8691548738,1506365256.75433,0.0212228298,0.4550217269,0.8929379255
-10.7138924486,-3.9364910314,1506365256.77434,0.0200049877,0.5403393371,0.9326638424
-10.9601643973,-3.4410432781,1506365256.79433,0.0199921131,0.2462719487,0.4954477533
-11.1464848595,-3.0041804093,1506365256.81433,0.0199999809,0.1863204623,0.4368628688
-10.8528768719,-3.1856027287,1506365256.83568,0.0213479996,0.2936079876,0.1814223194
-10.6202249621,-3.5286513168,1506365256.85558,0.019906044,0.2326519098,0.3430485881
-10.5942492168,-4.0880518936,1506365256.87556,0.0199790001,0.0259757454,0.5594005768
-9.9600030664,-4.9552148731,1506365256.89551,0.0199508667,0.6342461504,0.8671629795
-9.8702476039,-5.3092524099,1506365256.91556,0.0200459957,0.0897554625,0.3540375368
-9.1171870601,-5.873781984,1506365256.93681,0.0212490559,0.7530605437,0.5645295741
-9.1960350596,-6.2899523966,1506365256.95681,0.0200071335,0.0788479995,0.4161704126
-9.1102927454,-6.8622389725,1506365256.97795,0.0211338997,0.0857423142,0.572286576
-8.4959200625,-7.8324015997,1506365256.99683,0.0188789368,0.6143726829,0.9701626272
-8.105730163,-8.2694869669,1506365257.01685,0.0200190544,0.3901898995,0.4370853672
-8.2654027996,-8.9754559325,1506365257.03683,0.0199849606,0.1596726366,0.7059689656
-7.8026352737,-9.5621505924,1506365257.05808,0.0212459564,0.4627675259,0.5866946598
-7.5084557232,-10.5033030652,1506365257.07808,0.0199999809,0.2941795505,0.9411524729
-7.529825796,-11.2101519741,1506365257.09808,0.020004034,0.0213700728,0.7068489089
-7.4700535106,-11.7395178569,1506365257.11808,0.020004034,0.0597722855,0.5293658828
-7.1504205421,-12.0427733365,1506365257.13808,0.0199980736,0.3196329685,0.3032554795
-6.4900281851,-12.6124303519,1506365257.16171,0.0236270428,0.6603923569,0.5696570155
-6.8414850771,-12.3320770684,1506365257.18058,0.0188670158,0.351456892,0.2803532835
-6.8766710163,-12.4714159981,1506365257.19934,0.0187618732,0.0351859392,0.1393389297
-6.594240108,-12.4810213216,1506365257.21937,0.0200331211,0.2824309082,0.0096053235
-6.6563843452,-12.3100852022,1506365257.24059,0.0212140083,0.0621442372,0.1709361194
-6.7064032654,-12.0355703324,1506365257.26058,0.0199949741,0.0500189201,0.2745148698
-6.6454782865,-11.5857462212,1506365257.28057,0.0199940205,0.0609249789,0.4498241112
-6.774007666,-11.6303182161,1506365257.3006,0.0200259686,0.1285293796,0.0445719949
-7.4138589213,-10.8853797632,1506365257.32058,0.0199809074,0.6398512552,0.7449384529
-7.6290205884,-10.4940361005,1506365257.34057,0.0199930668,0.2151616671,0.3913436627
-8.0261785004,-9.945688745,1506365257.36184,0.0212640762,0.397157912,0.5483473555
-7.9540791785,-9.5059476988,1506365257.38183,0.0199899673,0.0720993219,0.4397410463
-8.2764399228,-8.9731462805,1506365257.40181,0.0199840069,0.3223607443,0.5328014183
-8.5615368708,-8.8037347225,1506365257.42194,0.0201230049,0.2850969479,0.169411558
-8.8914268339,-8.9528878094,1506365257.44307,0.021135807,0.3298899631,0.1491530869
-8.4885255015,-8.6772955953,1506365257.46184,0.0187680721,0.4029013324,0.275592214
-8.742606911,-8.8940009687,1506365257.48313,0.0212919712,0.2540814094,0.2167053734
-8.9521688464,-8.8635026987,1506365257.50309,0.0199561119,0.2095619354,0.03049827
-8.6070916672,-8.9448264181,1506365257.52307,0.0199849606,0.3450771792,0.0813237194
-8.1598688298,-8.9502409222,1506365257.54307,0.0199968815,0.4472228374,0.0054145041
-8.0028326358,-9.035855976,1506365257.56307,0.020001173,0.1570361941,0.0856150538
