FileName, Total X, Total Y, Total D, Total T, Eucl Distance,,, Samples
1-A-baseline,2167.384778,1494.027227,3661.412004,120.9624619,2925.275014,,,5701
1-A,0,0,0,0,0,,,0
1-B,3634.747499,2934.578179,6569.325677,120.959949,4945.687825,,,5823
1-C-baseline,3719.504015,2390.017634,6109.521649,120.970808,4663.982842,,,5537
1-C,2176.532249,1964.998012,4141.530261,120.9612169,3232.086349,,,5547
10-A-control,2084.351799,1538.583006,3622.934805,120.966182,2764.969561,,,5748
10-A,1504.585053,1547.983325,3052.568379,120.967324,2396.204427,,,5732
10-B-control,3257.816034,2200.542829,5458.358863,120.9648972,4208.465267,,,5712
10-B,3550.813615,2877.272721,6428.086336,120.9561388,4894.821058,,,5676
10-C-control,2145.048489,1674.255775,3819.304264,120.9474199,2956.197717,,,5460
10-C,4062.189401,3223.505367,7285.694768,120.9599681,5606.972886,,,5696
11-A-control,1882.98403,1274.422314,3157.406344,120.9587719,2487.881649,,,5699
11-A,3816.752411,2357.755149,6174.507559,120.9551749,4826.219639,,,5695
11-B-control,1558.913709,1126.251084,2685.164794,120.9674459,2129.318996,,,5412
11-B,1576.08059,1331.786483,2907.867073,120.971242,2297.223953,,,5496
11-C-control,7203.926981,4228.252695,11432.17968,120.961107,8594.356014,,,5784
11-C,2480.063651,3005.138533,5485.202184,120.967474,4351.313826,,,5601
12-A-control,1196.723659,951.1502365,2147.873895,120.954994,1697.39305,,,5361
12-A,1286.277384,1254.025465,2540.302849,120.9599328,2006.380954,,,5560
12-B-control,1308.056945,1027.314869,2335.371814,120.9735949,1844.656151,,,5522
12-B,1416.324514,1586.344557,3002.669071,120.953614,2370.908095,,,5677
12-C-control,1413.343798,1133.621178,2546.964976,120.9647729,2004.936155,,,5728
12-C,1878.546816,2564.834708,4443.381524,120.9660809,3536.671646,,,5659
13-A-control,3829.012847,2568.855139,6397.867986,120.948663,4935.999952,,,4937
13-A,4168.979444,3319.659725,7488.639169,120.96997,5928.644291,,,5512
13-B-control,6341.476953,3650.229741,9991.706693,120.961045,7773.204965,,,5181
13-B,5795.205967,4892.313998,10687.51997,120.9712369,8222.124839,,,5421
13-C-control,3954.730373,3059.687673,7014.418046,120.959923,5483.353805,,,5775
13-C,4505.336076,3811.480591,8316.816667,120.9711659,6554.7283,,,5587
14-A-control,2031.721388,2192.182865,4223.904253,120.9410701,3275.485414,,,5574
14-A,3273.643142,3172.001204,6445.644345,120.9548209,5035.656054,,,5620
14-B-control,1213.859824,1129.10716,2342.966985,120.942493,1852.636273,,,5645
14-B,1150.016205,1522.019103,2672.035308,120.9548261,2123.240275,,,5669
14-C-control,1384.779995,1321.384343,2706.164338,120.9749019,2134.322529,,,5579
14-C,2070.173727,2683.652724,4753.826451,120.9600079,3724.293043,,,5679
15-A-control,2324.545833,1407.579263,3732.125096,120.9572458,2939.572824,,,5543
15-A,3007.362097,1937.179869,4944.541966,120.961067,3924.831966,,,5544
15-B-control,1603.516722,1084.03234,2687.549062,120.96629,2131.524618,,,5753
15-B,3751.088873,3880.004523,7631.093396,120.968658,6030.905393,,,5749
15-C-control,1757.064034,1263.129853,3020.193887,120.9187269,2385.209602,,,5661
15-C,1877.026615,2445.835372,4322.861987,120.986028,3435.454502,,,5788
16-A-control,5074.42524,3266.863824,8341.289064,120.9573698,6289.21533,,,5334
16-A,1454.991179,1565.921604,3020.912783,120.952415,2380.01344,,,5721
16-B-control,1938.72447,1832.93217,3771.65664,120.9561381,2945.963421,,,5722
16-B,1978.102198,2508.65043,4486.752629,120.9448929,3600.80219,,,5550
16-C-control,1315.770715,1337.772947,2653.543662,120.9561322,2086.964888,,,5321
16-C,1349.599265,1638.621966,2988.221231,120.983789,2371.967815,,,5466
17-A-control,4478.279521,2822.304379,7300.5839,120.973701,5769.854002,,,5499
17-A,5901.640223,4423.617114,10325.25734,120.9550102,7919.431272,,,5789
