FileName, Total X, Total Y, Total D, Total T, Distance, Samples
1-A-baseline,2167.3847776942853,1494.0272266460977,3661.4120043403827,120.96246194839478,2925.275013687943,5701
1-A,0,0,0,0,0,0
1-B,3634.7474988000067,2934.578178562394,6569.325677362401,120.95994901657104,4945.687825375743,5823
1-C-baseline,3719.5040146306205,2390.0176343866287,6109.52164901725,120.9708080291748,4663.982841951247,5537
1-C,2176.5322491533443,1964.9980119023478,4141.530261055692,120.9612169265747,3232.08634900875,5547
10-A-control,2084.3517993340865,1538.5830061566014,3622.9348054906877,120.9661819934845,2764.969561417856,5748
10-A,1504.5850533736896,1547.9833252542855,3052.568378627975,120.9673240184784,2396.204427224926,5732
10-B-control,3257.8160341202083,2200.542829012225,5458.358863132433,120.96489715576172,4208.465267077342,5712
10-B,3550.8136149063876,2877.272720705164,6428.0863356115515,120.95613884925842,4894.82105754324,5676
10-C-control,2145.0484891493143,1674.2557752563432,3819.3042644056577,120.94741988182068,2956.197716787272,5460
10-C,4062.1894014018376,3223.5053665051073,7285.694767906945,120.95996809005737,5606.972886402842,5696
11-A-control,1882.9840304192887,1274.4223140556792,3157.406344474968,120.95877194404602,2487.881648703935,5699
11-A,3816.7524106890314,2357.755148540113,6174.507559229145,120.95517492294312,4826.219638932934,5695
11-B-control,1558.913709465502,1126.2510843061507,2685.1647937716525,120.96744585037231,2129.3189964473286,5412
11-B,1576.0805903709459,1331.7864828023799,2907.8670731733255,120.97124195098877,2297.2239528665427,5496
11-C-control,7203.926981025676,4228.252694861313,11432.17967588699,120.96110701560974,8594.356013530254,5784
11-C,2480.063650912895,3005.1385326386257,5485.202183551521,120.96747398376465,4351.313826152276,5601
12-A-control,1196.723658833922,951.1502364950769,2147.873895328999,120.95499396324158,1697.3930502279607,5361
12-A,1286.2773843854943,1254.0254649225833,2540.3028493080774,120.95993280410767,2006.380953741311,5560
12-B-control,1308.0569447227303,1027.3148693476937,2335.371814070424,120.97359490394592,1844.65615096707,5522
12-B,1416.3245141908515,1586.3445567090193,3002.669070899871,120.95361399650574,2370.9080952829554,5677
12-C-control,1413.343797801901,1133.6211781904037,2546.964975992305,120.964772939682,2004.936154702055,5728
12-C,1878.546816367615,2564.834707729394,4443.381524097009,120.96608090400696,3536.6716461821343,5659
13-A-control,3829.012847233227,2568.855139239004,6397.867986472231,120.94866299629211,4935.999952383161,4937
13-A,4168.979444464952,3319.6597249594815,7488.639169424434,120.96996998786926,5928.644291266363,5512
13-B-control,6341.4769528125635,3650.2297406349935,9991.706693447557,120.96104502677917,7773.20496486287,5181
13-B,5795.205967378373,4892.313997876318,10687.51996525469,120.97123694419861,8222.1248388778,5421
13-C-control,3954.7303729773284,3059.687672707696,7014.4180456850245,120.95992302894592,5483.353804546851,5775
13-C,4505.336076467789,3811.4805909310076,8316.816667398796,120.97116589546204,6554.72830004072,5587
14-A-control,2031.721388189461,2192.1828646005915,4223.904252790053,120.94107007980347,3275.485413824105,5574
